titulo,autor,variante_titulo,extension,distribuidor,materias,nota,detalles
Cardedeu : Vallès Oriental,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,"Inserta: Relación de equipamientos, servicios y lugares de interés con su localización en el plano; callejero; relación de paradas de autobús urbano localizadas en el plano; teléfonos de interés; información comercial que continúa al verso, con su localización en el plano",col.
Cardeña,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Carta de la isla de Lanzarote en las Canarias,España,,1 carta náutica,"[Ministerio de Defensa, Secretaría General Técnica]",,,[]
Carta de la ría y puerto de La Coruña,España,,1 carta náutica,"[Ministerio de Defensa, Secretaría General Técnica]",,,[]
"Carta geométrica de Galicia : Dividida en sus Provincias de Coruña, Lugo, Orense, Pontevedra y subdividida en Partidos y Ayuntamientos : Presentada en 1834 a S. M. La Reina Gobernadora Doña Maria Cristina de Borbón por su Secretario de Estado y del despacho de lo Interior","Fontán, Domingo",,1 mapa,[s.n.],,"Inserta: En el ángulo superior derecho ""Unión de las doce hojas de la Carta geográfica de Galicia y su triangulación fundamental""",col.
Casa de Campo,"Crespo Castellanos, José Manuel",,1 mapa,Ayuntamiento de Madrid,,Inserta: Lugares de interés y árboles singulares con su localización en el plano,col.
Casar de Cáceres,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Casco histórico de Hornachuelos,Patronato Provincial de Turismo (Córdoba),,1 plano,"Diputación de Córdoba, Patronato Provincial de Turismo",Senderismo -- Mapas,Inserta: Información de edificios y lugares de interés histórico con su localización en el plano; fotografías,col.
Casomera,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Castejón de Monegros,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Castell de Castells,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Castro Urdiales,Publicaciones Ornes,,1 plano,Publicaciones Ornes,,Inserta: Callejero; alojamientos; patrimonio artístico; centros públicos,col.
Castro Urdiales,Publicaciones Ornes,,1 plano,Publicaciones Ornes,,Inserta: Callejero; alojamientos; patrimonio artístico; centros públicos,col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,Artes Gráficas Lucenses,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castropol,,,1 plano,[s.n.],,"Incluye información de Castropol, ruta recomendada con sus lugares más destacados con su localización en el plano y fotografías",col.
Castuera,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
"Catalonia : one country, a thousand activities = Le Catalogne : un territoire, mil activités",Sàpiens Publicacions,Le Catalogne,1 mapa,Catalan Tourist Board,Actividades recreativas al aire libre -- Mapas,Inserta: Información general; pequeño mapa de localización en Europa; distancias entre capitales de provincia de Cataluña,col.
"Catalonia, road cycling",Agencia Catalana de Turismo,,3 mapas en 1 h.,Sàpiens Publicacions,Cicloturismo -- Mapas,Inserta: Etapas de los recorridos,col.
"Catalonië : één gebied, ontelbare activiteiten = La Catalogne : un territoire, mile activités",Sàpiens Publicacions,La Catalogne,1 mapa,Catalan Tourist Board,Actividades recreativas al aire libre -- Mapas,Inserta: Información general; pequeño mapa de localización en Europa; distancias entre capitales de provincia de Cataluña,col.
Catalunya : 2017-2018,Enciclopèdia Catalana,,1 mapa,GeoEstel,Carreteras -- Mapas,"Inserta: Tabla de distancias kilométricas; mapa comarcal, en 18 x 18 cm; mapa de accesos a Barcelona, en 21 x 50 cm, a escala [ca. 1:154.000]; plano de rondas de Barcelona, en 21 x 30 cm, a escala [ca. 1:50.000]",col.
"Catalunya, cliclisme de carretera",Agencia Catalana de Turismo,,3 mapas en 1 h.,Sàpiens Publicacions,Cicloturismo -- Mapas,Inserta: Etapas de los recorridos,col.
Catalunya : comarques,Landamaps,,1 mapa,Landamaps,Comarcas -- Mapas -- Carreteras -- Mapas,,col.
"Catalunya, un país per assaborir",Sàpiens Publicacions,,1 mapa,Sàpiens Publicacions,Enoturismo -- Mapas -- Vinos -- Mapas,Inserta: Pequeños mapas de localización de las denominaciones de origen Catalunya y Cava; clave de color de las denominaciones de origen de Cataluña; distancias kilométricas,col.
"Catalunya : un territori, mil activitats = Cataluña : un territorio, mil actividades",Sàpiens Publicacions,Cataluña,1 mapa,Agència Catalana de Turisme,Actividades recreativas al aire libre -- Mapas,Inserta: Información general; pequeño mapa de localización en Europa; distancias entre capitales de provincia de Cataluña,col.
"Cataluña, ciclismo en carretera",Agencia Catalana de Turismo,,3 mapas en 1 h.,Sàpiens Publicacions,Cicloturismo -- Mapas,Inserta: Etapas de los recorridos,col.
Cataluña política,Editorial Teide,,1 mapa,Editorial Teide,,,col.
"Cataluña, un país para saborear",Sàpiens Publicacions,,1 mapa,Sàpiens Publicacions,Enoturismo -- Mapas -- Vinos -- Mapas,Inserta: Pequeños mapas de localización de las denominaciones de origen Catalunya y Cava; clave de color de las denominaciones de origen de Cataluña; distancias kilométricas,col.
Catarroja,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Cavalls del vent : Travessa del Parc Natural Cadí-Moixeró,Editorial Alpina,,1 mapa,Editorial Alpina,Excursionismo -- Mapas,Incluye información general de la travesía y refugios de montaña con su localización en el mapa,col.
Cedrillas,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Ceip San Pio [sic] X (La Estrella),"Jiménez Marín, Francisco Javier",CEIP San Pío X,1 mapa,CRON,Orientación (Deporte) -- Mapas,,col.
Ceip [sic] San Prudencio (Albelda),"Mediavilla, José María",,1 mapa,CRON,Orientación (Deporte) -- Mapas,,col.
Celadas,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Cella,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Centro histórico-comercial de Mahón : plano = Mahón historic-shopping centre : map = Centro storico-commerciale Mahón : mappa ...,Mô Comercial,,1 plano,Mô Comercial,Comercios -- Planos,Incluye información comercial localizada en el plano,col.
Centro histórico de Málaga = Old town of Malaga,"Farfán Aguilar, Miguel Ángel",Old town of Malaga,1 mapa,BioGea Ediciones,,"Inserta: Rutas de interés, alojamientos y lugares de interés con su localización en el mapa",col.
Cercs,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,"Inserta: Información comercial que continúa al verso, con su localización en el plano; fotografías",col.
Cerdanya : Alta Cerdanya - Capcir - Andorra,Editorial Alpina,,1 mapa,Editorial Alpina,Excursionismo -- Mapas,,col.
Cervelló,SR Mapes,,1 plano,SR Mapes,Comercios -- Planos,"Inserta: Nomenclátor de calles; relación de lugares de interés con su localización en el plano; información comercial que continúa al verso, con su localización en el plano",col.
Cervera,Cervera,,1 plano,[Turisme de Cervera],,Inserta: Lugares de interés con su localización en el plano,col.
Cheles,España,,1 h.,"Ministerio de Defensa, Secretaría General Técnica",,,col.
Chinchón,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Ciclisme de carretera = Ciclismo de carretera = Cyclisme de route = Road cycling = StraBenradsport = Wielrennen,Patronato de Turismo (Tarragona (Provincia)),Ciclismo de carretera,2 mapas,"Diputació Tarragona, Patronat de Turisme",Cicloturismo -- Mapas,"Inserta: Mapas de localización en Tarragona, Cataluña, España y Europa",col.
Cigales,Instituto Geográfico Nacional (España),,1 h.,Centro Nacional de Información Geográfica,,,col.
Cines de Valladolid,"Villalobos Alonso, Daniel",,1 plano,Ayuntamiento de Valladolid,Cines -- Planos -- Cines -- Historia,"Inserta: Listado de cines de Valladolid a lo largo de su historia con información sobre su construcción, arquitectos y reformas, con su localización en el plano",col.
La Circulación por el interior del Parque Natural y Reserva de la Biosfera de Bardenas Reales,"Arbilla, Javier",,1 mapa,Comunidad de Bardenas Reales de Navarra,Excursionismo -- Mapas,"Al verso: Información general del parque, flora y fauna, itinerarios y la Comunidad de Bardenas Reales; mapa de accesos por carretera y localización del parque en Navarra; fotografías",col.
La Circulation à l'interieur du Parc Naturel et Réserve de la Biosphère des Bardenas Reales,"Arbilla, Javier",,1 mapa,Communauté des Bardenas Reales de Navarre,Excursionismo -- Mapas,"Al verso: Información general del parque, flora y fauna, itinerarios y la Comunidad de Bardenas Reales; mapa de accesos por carretera y localización del parque en Navarra; fotografías",col.
Circulation in the interior of the Bardenas Reales Natural Park and Biosphere Reserve,"Arbilla, Javier",,1 mapa,The Bardenas Reales Community of Navarre,Excursionismo -- Mapas,"Al verso: Información general del parque, flora y fauna, itinerarios y la Comunidad de Bardenas Reales; mapa de accesos por carretera y localización del parque en Navarra; fotografías",col.
La Ciudad histórica,Gerona,,1 plano,Ajuntament de Girona,,"Incluye relación de alojamientos turísticos con su localización en el plano, información de oficinas de turismo y teléfonos de interés",col.
La Ciutat històrica,Gerona,,1 plano,Ajuntament de Girona,,"Incluye relación de alojamientos turísticos con su localización en el plano, información de oficinas de turismo y teléfonos de interés",col.
